,key,3,10,5,auditReportDate
4010,2016.06.092016.03.23CB(2015.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2015.12),2016년3월9일_2015년12월31일_2014년12월31일_
8463,2017.06.012017.03.31CB(2016.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2016.12),2015년12월31일_2016년12월31일_2017년3월15일_
12569,2018.04.022018.04.02CB(2017.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2017.12),2017년4월26일_2017년10월1일_2018년3월14일_2017년8월29일_2016년12월31일_2017년12월31일_2017년3월15일_
17330,2019.04.012019.04.01CB(2018.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2018.12),2018년12월31일_2019년3월20일_
23689,2020.08.142020.03.30CB(2019.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
2673,2016.03.302016.03.30CB(2015.12)006360110111-0002694,GS건설,110111-0002694,(2015.12),2015년12월31일_2016년3월9일_2014년12월31일_
6979,2017.03.302017.03.30CB(2016.12)006360110111-0002694,GS건설,110111-0002694,(2016.12),2015년12월31일_2017년03월16일_2016년12월31일_
12366,2018.04.022018.04.02CB(2017.12)006360110111-0002694,GS건설,110111-0002694,(2017.12),2016년12월31일_2018년03월15일_2017년12월31일_
17063,2019.04.012019.04.01CB(2018.12)006360110111-0002694,GS건설,110111-0002694,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
21708,2020.03.272020.03.27CB(2019.12)006360110111-0002694,GS건설,110111-0002694,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
3934,2016.05.162016.03.30CB(2015.12)002300110111-0002818,한국제지,110111-0002818,(2015.12),2015년12월31일_2016년3월17일_2015년3월9일_2014년12월31일_
8174,2017.03.312017.03.31CB(2016.12)002300110111-0002818,한국제지,110111-0002818,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
13010,2018.04.022018.04.02CB(2017.12)002300110111-0002818,한국제지,110111-0002818,(2017.12),2017년3월16일_2015년12월31일_2018년3월15일_2016년3월17일_2016년12월31일_2017년12월31일_2016년1월1일_
17998,2019.04.012019.04.01CB(2018.12)002300110111-0002818,한국제지,110111-0002818,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
23262,2020.03.302020.03.30CB(2019.12)002300110111-0002818,한국제지,110111-0002818,(2019.12),2019년12월31일_2020년3월19일_
3556,2016.03.302016.03.30CB(2015.12)000880110111-0002959,한화,110111-0002959,(2015.12),2015년12월31일_2016년3월17일_2014년12월31일_
8329,2017.04.192017.03.31CB(2016.12)000880110111-0002959,한화,110111-0002959,(2016.12),2015년12월31일_2017년3월16일_2016년3월17일_2016년12월31일_
13249,2018.06.112018.04.02CB(2017.12)000880110111-0002959,한화,110111-0002959,(2017.12),2018년3월19일_2016년12월31일_2017년12월31일_
18036,2019.04.012019.04.01CB(2018.12)000880110111-0002959,한화,110111-0002959,(2018.12),2018년12월31일_2019년3월20일_2017년12월31일_
23313,2020.03.302020.03.30CB(2019.12)000880110111-0002959,한화,110111-0002959,(2019.12),2019년12월31일_2020년3월17일_
3713,2016.05.122016.03.29CB(2015.12)006040110111-0003098,동원산업,110111-0003098,(2015.12),2015년12월31일_2016년3월4일_2014년12월31일_
7034,2017.03.302017.03.30CB(2016.12)006040110111-0003098,동원산업,110111-0003098,(2016.12),2015년12월31일_2017년3월16일_2016년3월4일_2016년12월31일_
13379,2018.07.162018.03.30CB(2017.12)006040110111-0003098,동원산업,110111-0003098,(2017.12),2018년3월15일_2016년12월31일_2017년12월31일_
17284,2019.04.012019.04.01CB(2018.12)006040110111-0003098,동원산업,110111-0003098,(2018.12),2019년3월19일_2018년12월31일_2017년12월31일_
22205,2020.03.302020.03.30CB(2019.12)006040110111-0003098,동원산업,110111-0003098,(2019.12),2019년12월31일_2020년3월19일_
4004,2016.06.012016.03.30CB(2015.12)110111-0003121,롯데알미늄,110111-0003121,(2015.12),2015년12월31일_2016년3월11일_2014년12월31일_
3562,2016.03.302016.03.30CB(2015.12)003530110111-0003155,한화투자증권,110111-0003155,(2015.12),2015년12월31일_2016년3월9일_2014년12월31일_
8224,2017.03.312017.03.31CB(2016.12)003530110111-0003155,한화투자증권,110111-0003155,(2016.12),2015년12월31일_2016년3월9일_2016년12월31일_2017년3월15일_
12322,2018.03.302018.03.30CB(2017.12)003530110111-0003155,한화투자증권,110111-0003155,(2017.12),2016년12월31일_2017년12월31일_2018년3월16일_
17028,2019.03.292019.03.29CB(2018.12)003530110111-0003155,한화투자증권,110111-0003155,(2018.12),2018년12월31일_2019년3월18일_2017년12월31일_
