,key,3,10,5,auditReportDate
2361,2016.06.092016.03.23SB(2015.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2015.12),2016년3월9일_2015년12월31일_2014년12월31일_
6529,2017.06.012017.03.31SB(2016.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2016.12),2015년12월31일_2016년12월31일_2017년3월15일_
10039,2018.04.022018.04.02SB(2017.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2017.12),2017년4월26일_2017년10월1일_2018년3월14일_2017년8월29일_2016년12월31일_2017년12월31일_2017년3월15일_
14799,2019.04.012019.04.01SB(2018.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2018.12),2018년12월31일_2019년3월20일_
21499,2020.08.142020.03.30SB(2019.12)023530110111-0000086,롯데쇼핑,110111-0000086,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
296,2016.03.302016.03.30SB(2015.12)006360110111-0002694,GS건설,110111-0002694,(2015.12),2015년12월31일_2016년3월9일_2014년12월31일_
4333,2017.03.302017.03.30SB(2016.12)006360110111-0002694,GS건설,110111-0002694,(2016.12),2015년12월31일_2017년03월16일_2016년12월31일_
9775,2018.04.022018.04.02SB(2017.12)006360110111-0002694,GS건설,110111-0002694,(2017.12),2016년12월31일_2018년03월15일_2017년12월31일_
14425,2019.04.012019.04.01SB(2018.12)006360110111-0002694,GS건설,110111-0002694,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
18680,2020.03.272020.03.27SB(2019.12)006360110111-0002694,GS건설,110111-0002694,(2019.12),2019년12월31일_2020년3월18일_2018년12월31일_2020년3월19일_
2235,2016.05.162016.03.30SB(2015.12)002300110111-0002818,한국제지,110111-0002818,(2015.12),2015년12월31일_2016년3월17일_2015년3월9일_2014년12월31일_
6102,2017.03.312017.03.31SB(2016.12)002300110111-0002818,한국제지,110111-0002818,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
10694,2018.04.022018.04.02SB(2017.12)002300110111-0002818,한국제지,110111-0002818,(2017.12),2017년3월16일_2015년12월31일_2018년3월15일_2016년3월17일_2016년12월31일_2017년12월31일_2016년1월1일_
15750,2019.04.012019.04.01SB(2018.12)002300110111-0002818,한국제지,110111-0002818,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
